# tracer: nop
#
# entries-in-buffer/entries-written: 30743/14866026   #P:28
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
   systemd-udevd-365   [019] ....    13.863817: tcp_packet: Some ptrs: init net ffffffff82319c80(2319), vmemmap ffffea0000000000 (0)
     ksoftirqd/5-38    [005] ..s.   734.236089: mlx5e_skb_from_cqe_linear: a9eb3013db) data ffff889fa754c800 shinfo ffff889fa754ce40[ffffea007e9d5300]
     ksoftirqd/5-38    [005] ..s.   734.236089: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa754ce40[ffffea007e9d5300]
     ksoftirqd/5-38    [005] ..s.   734.236089: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236090: mlx5e_skb_from_cqe_linear: a9eb301765) data ffff889fa8da0000 shinfo ffff889fa8da0640[ffffea007ea36800]
     ksoftirqd/5-38    [005] ..s.   734.236090: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8da0640[ffffea007ea36800]
     ksoftirqd/5-38    [005] ..s.   734.236090: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236091: mlx5e_skb_from_cqe_linear: a9eb301af5) data ffff889fa8da0800 shinfo ffff889fa8da0e40[ffffea007ea36800]
     ksoftirqd/5-38    [005] ..s.   734.236091: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8da0e40[ffffea007ea36800]
     ksoftirqd/5-38    [005] ..s.   734.236091: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236091: mlx5e_skb_from_cqe_linear: a9eb301e78) data ffff889fa8da1000 shinfo ffff889fa8da1640[ffffea007ea36840]
     ksoftirqd/5-38    [005] ..s.   734.236092: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8da1640[ffffea007ea36840]
     ksoftirqd/5-38    [005] ..s.   734.236092: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236092: mlx5e_skb_from_cqe_linear: a9eb302208) data ffff889fa8da1800 shinfo ffff889fa8da1e40[ffffea007ea36840]
     ksoftirqd/5-38    [005] ..s.   734.236093: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8da1e40[ffffea007ea36840]
     ksoftirqd/5-38    [005] ..s.   734.236093: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236093: mlx5e_skb_from_cqe_linear: a9eb3025ac) data ffff889fa8da2000 shinfo ffff889fa8da2640[ffffea007ea36880]
     ksoftirqd/5-38    [005] ..s.   734.236094: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8da2640[ffffea007ea36880]
     ksoftirqd/5-38    [005] ..s.   734.236094: dev_gro_receive: same flow... 
